Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBCV,2021,W,AANB,550,,001,Topics in Animal Welfare,Alexandra Protopopova,11,92.727272727,2.611164839,95.0,90.0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2021,W,AANB,550,,OVERALL,Topics in Animal Welfare,,11,92.727272727,2.611164839,95.0,90.0,0,0,0,0,0,0,0,0,0,0,11
UBCV,2021,W,ACAM,250,,001,Asian Canadians in Popular Culture,Elaina Nguyen;John Paul Catungal,50,77.96,10.604119338,93.0,46.0,1,2,1,1,2,2,5,3,17,12,4
UBCV,2021,W,ACAM,250,,OVERALL,Asian Canadians in Popular Culture,,50,77.96,10.604119338,93.0,46.0,1,2,1,1,2,2,5,3,17,12,4
UBCV,2021,W,ACAM,300,,001,Dis/Orienting Asian Canada,Laura Ishiguro;Nicole Yakashiro,48,77.604166667,17.594413503,91.0,5.0,3,1,0,0,1,1,3,10,8,16,5
UBCV,2021,W,ACAM,300,,OVERALL,Dis/Orienting Asian Canada,,48,77.604166667,17.594413503,91.0,5.0,3,1,0,0,1,1,3,10,8,16,5
UBCV,2021,W,ACAM,320,B,001,Selected Topics in ACAM Studies,Athina Anjelica Leung;Benjamin Cheung,53,80.245283019,13.027936935,92.0,8.0,1,1,1,0,0,4,5,2,14,18,7
UBCV,2021,W,ACAM,320,B,OVERALL,Selected Topics in ACAM Studies,,53,80.245283019,13.027936935,92.0,8.0,1,1,1,0,0,4,5,2,14,18,7
UBCV,2021,W,ACAM,320,D,001,Selected Topics in ACAM Studies,Danielle Wong,12,80.916666667,3.553700589,86.0,75.0,0,0,0,0,0,0,2,3,5,2,0
UBCV,2021,W,ACAM,320,D,OVERALL,Selected Topics in ACAM Studies,,12,80.916666667,3.553700589,86.0,75.0,0,0,0,0,0,0,2,3,5,2,0
UBCV,2021,W,ACAM,350,,001,Asian Canadian Community-Based Media,Alejandro Yoshizawa,18,84.944444444,3.621378064,90.0,77.0,0,0,0,0,0,0,0,1,6,9,2
UBCV,2021,W,ACAM,350,,OVERALL,Asian Canadian Community-Based Media,,18,84.944444444,3.621378064,90.0,77.0,0,0,0,0,0,0,0,1,6,9,2
UBCV,2021,W,ACAM,447,C,001,Directed Studies in Asian Canadian and Asian Migration,,9,94.333333333,2.958039892,98.0,90.0,0,0,0,0,0,0,0,0,0,0,9
UBCV,2021,W,ACAM,447,C,OVERALL,Directed Studies in Asian Canadian and Asian Migration,,9,94.333333333,2.958039892,98.0,90.0,0,0,0,0,0,0,0,0,0,0,9
UBCV,2021,W,ADHE,327,,63A,Teaching Adults,Dave Smulders;Hongxia Shan,29,81.103448276,8.865441845,95.0,50.0,0,1,0,0.0,2.0,1.0,0,4.0,10,9,2
UBCV,2021,W,ADHE,327,,63B,Teaching Adults,Dave Smulders,28,83.678571429,8.463663384,94.0,55.0,0,0,1,0.0,0.0,1.0,2,2.0,7,7,8
UBCV,2021,W,ADHE,327,,63C,Teaching Adults,Laura Servage;Pierre Walter;Vicheth Sen,25,88.32,5.757024695,96.0,68.0,0,0,0,0.0,0.0,1.0,0,0.0,3,9,12
UBCV,2021,W,ADHE,327,,63D,Teaching Adults,Dave Smulders,28,78.678571429,17.911414882,94.0,0.0,1,1,0,0.0,0.0,4.0,1,1.0,8,7,5
UBCV,2021,W,ADHE,327,,63E,Teaching Adults,Dave Smulders;Laura Servage;Vicheth Sen,27,78.703703704,9.235445159,91.0,56.0,0,0,2,0.0,1.0,2.0,5,4.0,3,8,2
UBCV,2021,W,ADHE,327,,63F,Teaching Adults,Hongxia Shan;Sharon Jarvis,27,81.62962963,17.759392202,97.0,0.0,1,0,0,0.0,1.0,0.0,2,1.0,9,7,6
UBCV,2021,W,ADHE,327,,OVERALL,Teaching Adults,,164,81.920731707,12.560520854,97.0,0.0,2,2,3,0.0,4.0,9.0,10,12.0,40,47,35
UBCV,2021,W,ADHE,328,,63A,Institutions of Adult Education,Kapil Regmi;Kari Grain,19,86.368421053,21.37550656,98.0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,1,5,12
UBCV,2021,W,ADHE,328,,63B,Institutions of Adult Education,Jennifer Chan;Vicheth Sen,16,81.375,5.402160062,86.0,71.0,0,0,0,0.0,0.0,1.0,3,0.0,6,6,0
UBCV,2021,W,ADHE,328,,63C,Institutions of Adult Education,Jennifer Chan;Kari Grain,28,87.428571429,6.751836905,95.0,62.0,0,0,0,1.0,0.0,0.0,1,1.0,1,10,14
UBCV,2021,W,ADHE,328,,63D,Institutions of Adult Education,Jennifer Chan;Kari Grain,28,84.392857143,11.357292602,93.0,40.0,1,0,0,1.0,0.0,1.0,1,0.0,4,8,12
UBCV,2021,W,ADHE,328,,63E,Institutions of Adult Education,Kapil Regmi;Vicheth Sen,24,77.958333333,8.195858799,87.0,60.0,0,0,0,4.0,0.0,0.0,2,2.0,15,1,0
UBCV,2021,W,ADHE,328,,63F,Institutions of Adult Education,Kari Grain;Vicheth Sen,27,85.62962963,7.796193095,95.0,60.0,0,0,0,1.0,0.0,0.0,2,1.0,6,5,12
UBCV,2021,W,ADHE,328,,OVERALL,Institutions of Adult Education,,142,84.063380282,11.298160767,98.0,0.0,2,0,0,7.0,0.0,2.0,9,4.0,33,35,50
UBCV,2021,W,ADHE,329,,63A,"Developing Short Courses, Workshops and Seminars",Kapil Regmi;Omer Aijazi,28,84.607142857,8.056923803,95.0,63.0,0,0,0,1.0,2.0,0.0,0,1.0,5,12,7
UBCV,2021,W,ADHE,329,,63B,"Developing Short Courses, Workshops and Seminars",Thomas Joda Sork;Vicheth Sen,28,79.714285714,5.753305928,88.0,67.0,0,0,0,0.0,1.0,3.0,3,4.0,9,8,0
UBCV,2021,W,ADHE,329,,63C,"Developing Short Courses, Workshops and Seminars",Sharon Jarvis,29,90.172413793,17.645454626,98.0,0.0,1,0,0,0.0,0.0,0.0,0,0.0,1,0,27
UBCV,2021,W,ADHE,329,,63D,"Developing Short Courses, Workshops and Seminars",Omer Aijazi,29,83.75862069,7.858822033,92.0,65.0,0,0,0,0.0,2.0,1.0,1,3.0,5,7,10
UBCV,2021,W,ADHE,329,,63E,"Developing Short Courses, Workshops and Seminars",Kapil Regmi;Vicheth Sen,26,79.576923077,5.092528464,87.0,66.0,0,0,0,0.0,1.0,1.0,2,7.0,11,4,0
UBCV,2021,W,ADHE,329,,63F,"Developing Short Courses, Workshops and Seminars",Kapil Regmi;Sharon Jarvis,26,83.230769231,18.115866399,96.0,0.0,1,0,0,0.0,0.0,0.0,2,3.0,3,7,10
UBCV,2021,W,ADHE,329,,OVERALL,"Developing Short Courses, Workshops and Seminars",,166,83.602409639,12.079473959,98.0,0.0,2,0,0,1.0,6.0,5.0,8,18.0,34,38,54
UBCV,2021,W,ADHE,330,,022,The Community Practice of Adult Education,Alison Taylor;Elena Ignatovich;Jennifer Anaquod,27,84.814814815,2.587500086,89.0,76.0,0,0,0,0.0,0.0,0.0,0,1.0,11,15,0
UBCV,2021,W,ADHE,330,,63A,The Community Practice of Adult Education,Bathseba Opini;Deonarine Bishundayal;Lindsay Cole,26,80.923076923,10.248602156,96.0,56.0,0,0,1,1.0,0.0,3.0,3,2.0,4,5,7
UBCV,2021,W,ADHE,330,,63B,The Community Practice of Adult Education,Deonarine Bishundayal;Lindsay Cole,26,79.884615385,12.222362859,98.0,52.0,0,2,0,1.0,2.0,0.0,1,4.0,7,4,5
UBCV,2021,W,ADHE,330,,63C,The Community Practice of Adult Education,Lindsay Cole,21,83.142857143,8.719436417,94.0,61.0,0,0,0,1.0,1.0,0.0,1,2.0,6,3,7
UBCV,2021,W,ADHE,330,,63D,The Community Practice of Adult Education,Bathseba Opini,25,83.88,5.659210781,92.0,65.0,0,0,0,0.0,1.0,0.0,1,1.0,6,14,2
UBCV,2021,W,ADHE,330,,63E,The Community Practice of Adult Education,Deonarine Bishundayal;Stephanie Glick,26,81.153846154,17.124701008,92.0,0.0,1,0,0,0.0,0.0,0.0,2,0.0,9,10,4
UBCV,2021,W,ADHE,330,,OVERALL,The Community Practice of Adult Education,,151,82.278145695,10.531957045,98.0,0.0,1,2,1,3.0,4.0,3.0,8,10.0,43,51,25
UBCV,2021,W,ADHE,412,,63A,An Overview of Adult Education,Carolina Palacios,28,75.214285714,8.870914366,87.0,50.0,0,1,1,2.0,0.0,2.0,5,7.0,6,4,0
UBCV,2021,W,ADHE,412,,63B,An Overview of Adult Education,Carolina Palacios;Sharon Jarvis,27,71.592592593,18.618145118,90.0,0.0,2,1,0,1.0,0.0,2.0,6,8.0,3,3,1
UBCV,2021,W,ADHE,412,,63C,An Overview of Adult Education,Carolina Palacios,26,73.153846154,10.536383849,90.0,42.0,1,2,0,0.0,0.0,4.0,7,5.0,4,2,1
UBCV,2021,W,ADHE,412,,63D,An Overview of Adult Education,Carolina Palacios,26,73.846153846,9.747583527,88.0,50.0,0,2,1,1.0,1.0,1.0,7,5.0,6,2,0
UBCV,2021,W,ADHE,412,,63E,An Overview of Adult Education,Carolina Palacios,24,74.25,10.100581128,90.0,41.0,1,0,0,1.0,2.0,1.0,7,6.0,3,2,1
UBCV,2021,W,ADHE,412,,63F,An Overview of Adult Education,Carolina Palacios,23,73.043478261,9.560706806,86.0,50.0,0,2,0,0.0,3.0,2.0,5,6.0,2,3,0
UBCV,2021,W,ADHE,412,,OVERALL,An Overview of Adult Education,,154,73.525974026,11.673778254,90.0,0.0,4,8,2,5.0,6.0,12.0,37,37.0,24,16,3
UBCV,2021,W,AFST,250,A,001,Introduction to African Studies,Joann Anokwuru;Justice Gbolonyo,41,78.609756098,14.035451629,94.0,21.0,1,1,1,3,1.0,4,4,3,2,12,9
UBCV,2021,W,AFST,250,A,002,Introduction to African Studies,Joann Anokwuru;Justice Gbolonyo,36,78.833333333,16.863316061,95.0,0.0,1,1,1,1,0.0,2,2,6,6,9,7
UBCV,2021,W,AFST,250,A,003,Introduction to African Studies,Joann Anokwuru;Justice Gbolonyo,25,77.84,15.195064988,92.0,24.0,1,2,0,0,0.0,2,1,3,5,7,4
UBCV,2021,W,AFST,250,A,OVERALL,Introduction to African Studies,,102,78.5,15.217726766,95.0,0.0,3,4,2,4,1.0,8,7,12,13,28,20
UBCV,2021,W,AFST,308,,002,The Languages of Africa,Joash Gambarage,12,80.0,8.17979773,91.0,66.0,0,0,0,0,1.0,1,1,2,3,2,2
UBCV,2021,W,AFST,308,,OVERALL,The Languages of Africa,,12,80.0,8.17979773,91.0,66.0,0,0,0,0,1.0,1,1,2,3,2,2
UBCV,2021,W,AFST,351,A,001,Perspectives in African Studies: Literary and Theoretical Approaches,Deena Dinat,36,72.5,18.569560346,88.0,7.0,4,0,0,1,1.0,2,5,6,12,5,0
UBCV,2021,W,AFST,351,A,OVERALL,Perspectives in African Studies: Literary and Theoretical Approaches,,36,72.5,18.569560346,88.0,7.0,4,0,0,1,1.0,2,5,6,12,5,0
UBCV,2021,W,AFST,352,A,002,Perspectives in African Studies: A Social Science Approach,Joann Anokwuru;Justice Gbolonyo,18,80.666666667,10.538445024,89.0,60.0,0,0,0,2,0.0,3,0,1,2,10,0
UBCV,2021,W,AFST,352,A,OVERALL,Perspectives in African Studies: A Social Science Approach,,18,80.666666667,10.538445024,89.0,60.0,0,0,0,2,0.0,3,0,1,2,10,0
UBCV,2021,W,AFST,370,A,001,Literatures and Cultures of Africa and/or the Middle East,Suzanne James,11,63.909090909,27.983761525,83.0,0.0,2,0,0,0,0.0,1,3,2,3,0,0
UBCV,2021,W,AFST,370,A,OVERALL,Literatures and Cultures of Africa and/or the Middle East,,11,63.909090909,27.983761525,83.0,0.0,2,0,0,0,0.0,1,3,2,3,0,0
UBCV,2021,W,AFST,450,R,001,African Diasporic Culture in African Canadian Communities,Calisto Mudzingwa;Calisto Muzingwa;Chilenye Nwapi;Deena Dinat,17,86.470588235,5.990801773,93.0,67.0,0,0,0,0,1.0,0,0,1,1,8,6
UBCV,2021,W,AFST,450,R,OVERALL,African Diasporic Culture in African Canadian Communities,,17,86.470588235,5.990801773,93.0,67.0,0,0,0,0,1.0,0,0,1,1,8,6
