Subject,Course,Title,Enrolled,Avg
WRDS,150B,"Writing and Research in the Disciplines",2790,74.109677419
PSYC,102,"Introduction to Developmental, Social, Personality, and Clinical Psychology",2531,71.521532991
ECON,101,"Principles of Microeconomics",2296,68.93466899
PSYC,101,"Introduction to Biological and Cognitive Psychology",2122,71.866163996
ECON,102,"Principles of Macroeconomics",2029,68.423361262
ATSC,113,"Applied Meteorology",1889,78.226045527
CHEM,121,"Structure and Bonding in Chemistry",1882,72.149840595
WRDS,150A,"Writing and Research in the Disciplines",1746,72.936426117
BIOL,121,"Genetics, Evolution and Ecology",1732,77.132794457
ENGL,110,"Approaches to Literature",1727,73.117544876
MATH,100,"Differential Calculus with Applications to Physical Sciences and Engineering",1665,63.655855856
BIOL,112,"Biology of the Cell",1604,78.493765586
CHEM,123,"Thermodynamics, Kinetics and Organic Chemistry",1574,73.213468869
MATH,101,"Integral Calculus with Applications to Physical Sciences and Engineering",1405,69.587900356
CPSC,110,"Computation, Programs, and Programming",1393,74.178750897
BIOL,200,"Fundamentals of Cell Biology",1386,72.700577201
CRWR,200,"Introduction to Creative Writing",1350,79.227407407
MATH,200,"Calculus III",1305,66.756321839
BIOL,140,"Laboratory Investigations in Life Science",1255,85.123505976
FMST,210,"Family Context of Human Development",1249,80.487590072
PHYS,131,"Energy and Waves (Lecture)",1217,78.058340181
CPSC,210,"Software Construction",1175,75.212765957
CHEM,233,"Organic Chemistry for the Biological Sciences",1173,67.494458653
CHEM,235,"Organic Chemistry Laboratory",1165,82.051502146
MATH,104,"Differential Calculus with Applications to Commerce and Social Sciences",1136,63.705985915
MATH,221,"Matrix Algebra",1100,71.860909091
SOCI,102,"Inequality and Social Change",1092,76.678571429
CPSC,121,"Models of Computation",1067,73.33552015
MATH,102,"Differential Calculus with Applications to Life Sciences",1060,69.497169811
PHYS,170,"Mechanics I",1056,75.881628788
APSC,100,"Introduction to Engineering I",1017,77.903638151
APSC,160,"Introduction to Computation in Engineering Design",1009,78.736372646
PHYS,157,"Introductory Physics for Engineers I",1007,74.735849057
MATH,105,"Integral Calculus with Applications to Commerce and Social Sciences",1006,68.880715706
EOSC,114,"The Catastrophic Earth: Natural Disasters",1005,74.71641791
DSCI,100,"Introduction to Data Science",998,81.228456914
CPSC,103,"Introduction to Systematic Program Design",960,73.641666667
COMM,298,"Introduction to Finance",956,74.758368201
STAT,200,"Elementary Statistics for Applications",954,74.030398323
CPSC,221,"Basic Algorithms and Data Structures",950,81.225263158
MATH,152,"Linear Systems",925,66.846486486
COMM,202,"Career Fundamentals",920,78.197826087
COMM,290,"Introduction to Quantitative Decision Making",911,72.316136114
EOSC,116,"Mesozoic Earth: Time of the Dinosaurs.",888,75.496621622
SOCI,101,"Social Interaction and Culture",888,72.255630631
APSC,101,"Introduction to Engineering II",884,73.778280543
PHYS,158,"Introductory Physics for Engineers II",879,62.832764505
COMM,291,"Application of Statistics in Business",877,70.737742303
COMM,292,"Management and Organizational Behaviour",872,75.600917431
PHYS,159,"Introductory Physics Laboratory for Engineers",867,84.098039216
COMM,296,"Introduction to Marketing",866,76.419168591
POLI,100,"Introduction to Politics",860,74.229069767
PHIL,220A,"Symbolic Logic",857,75.288214702
PSYC,218,"Analysis of Behavioural Data",856,69.956775701
PSYC,217,"Research Methods",851,73.130434783
COMM,294,"Managerial Accounting",849,74.83745583
COMM,395,"Business Communications",827,76.429262394
PSYC,300A,"Abnormal Psychology",816,73.495098039
BIOL,234,"Fundamentals of Genetics",815,71.747239264
PSYC,305A,"Personality Psychology",814,76.090909091
CHEM,154,"Chemistry for Engineering",813,70.856088561
PSYC,314,"Health Psychology",800,77.2275
COMM,390,"Business Writing",790,78.158227848
COMM,295,"Managerial Economics",786,74.718829517
PSYC,307,"Cultural Psychology",786,74.709923664
APSC,450,"Professional Engineering Practice",771,81.492866407
COMM,101,"Business Fundamentals",771,73.866407263
PSYC,315,"Childhood and Adolescence",765,70.691503268
