Subject,Course,Title,Enrolled,Pass,Fail,"Fail %"
MATH,104,"Differential Calculus with Applications to Commerce and Social Sciences",1136,849,287,25.2641
CPSC,110,"Computation, Programs, and Programming",1393,1064,329,23.6181
MATH,180,"Differential Calculus with Physical Applications",294,225,69,23.4694
ELEC,201,"Circuit Analysis I",327,251,76,23.2416
MATH,184,"Differential Calculus for Social Science and Commerce",365,290,75,20.5479
CPSC,103,"Introduction to Systematic Program Design",960,763,197,20.5208
MATH,100,"Differential Calculus with Applications to Physical Sciences and Engineering",1665,1354,311,18.6787
MATH,255,"Ordinary Differential Equations",220,179,41,18.6364
PHYS,158,"Introductory Physics for Engineers II",879,717,162,18.4300
KIN,110,"Human Anatomy",238,196,42,17.6471
CHEM,203,"Introduction to Organic Chemistry",244,201,43,17.6230
MATH,105,"Integral Calculus with Applications to Commerce and Social Sciences",1006,838,168,16.6998
STAT,302,"Introduction to Probability",404,338,66,16.3366
MATH,103,"Integral Calculus with Applications to Life Sciences",763,640,123,16.1206
MATH,101,"Integral Calculus with Applications to Physical Sciences and Engineering",1405,1188,217,15.4448
MATH,316,"Elementary Differential Equations II",241,204,37,15.3527
MATH,200,"Calculus III",1305,1105,200,15.3257
CPSC,121,"Models of Computation",1067,907,160,14.9953
MATH,220,"Mathematical Proof",652,563,89,13.6503
ECON,356,"Introduction to International Finance",440,381,59,13.4091
CPSC,210,"Software Construction",1175,1018,157,13.3617
MATH,264,"Vector Calculus for Electrical Engineering",286,248,38,13.2867
MATH,340,"Introduction to Linear Programming",274,238,36,13.1387
CHEM,233,"Organic Chemistry for the Biological Sciences",1173,1019,154,13.1287
MATH,102,"Differential Calculus with Applications to Life Sciences",1060,924,136,12.8302
ELEC,221,"Signals and Systems",289,252,37,12.8028
MATH,215,"Elementary Differential Equations I",393,344,49,12.4682
BIOL,200,"Fundamentals of Cell Biology",1386,1215,171,12.3377
PHYS,117,"Dynamics and Waves",441,388,53,12.0181
MECH,260,"Introduction to Mechanics of Materials",283,249,34,12.0141
CHEM,213,"Organic Chemistry",218,192,26,11.9266
APBI,200,"Introduction to Soil Science",256,226,30,11.7188
CIVL,210,"Soil Mechanics I",218,193,25,11.4679
MECH,360,"Mechanics of Materials",298,264,34,11.4094
CHEM,121,"Structure and Bonding in Chemistry",1882,1668,214,11.3709
CAPS,391,"Introduction to Gross Human Anatomy",238,212,26,10.9244
CLST,301,"The Technical Terms of Medicine and Biological Science",532,474,58,10.9023
MATH,256,"Differential Equations",735,656,79,10.7483
MATH,317,"Calculus IV",262,234,28,10.6870
CPSC,322,"Introduction to Artificial Intelligence",431,386,45,10.4408
SPAN,201,"Elementary Spanish I",234,210,24,10.2564
COMR,457,"Fundamentals of Financial Accounting",376,338,38,10.1064
BIOC,202,"Introductory Medical Biochemistry",430,387,43,10.0000
BIOL,204,"Vertebrate Structure and Function",297,268,29,9.7643
COMR,473,"Business Finance",216,195,21,9.7222
BUSI,293,"Introductory Financial Accounting",227,205,22,9.6916
MATH,221,"Matrix Algebra",1100,995,105,9.5455
APSC,160,"Introduction to Computation in Engineering Design",1009,913,96,9.5144
EOSC,112,"The Fluid Earth: Atmosphere and Ocean",296,268,28,9.4595
POLI,380,"Quantitative Methods in Political Science",244,221,23,9.4262
BIOL,335,"Molecular Genetics",268,243,25,9.3284
PHYS,131,"Energy and Waves (Lecture)",1217,1104,113,9.2851
PHYS,100,"Introductory Physics",638,579,59,9.2476
ECON,301,"Intermediate Microeconomic Analysis I",325,295,30,9.2308
PHYS,170,"Mechanics I",1056,959,97,9.1856
CPSC,213,"Introduction to Computer Systems",753,686,67,8.8977
ECON,345,"Money and Banking",519,473,46,8.8632
PSYC,218,"Analysis of Behavioural Data",856,781,75,8.7617
BUSI,335,"Information Systems",229,210,19,8.2969
KIN,132,"Systems Physiology II",244,224,20,8.1967
CPEN,211,"Introduction to Microcomputers",321,295,26,8.0997
CHBE,244,"Chemical and Biological Engineering Thermodynamics I",247,227,20,8.0972
CHEM,205,"Physical Chemistry",414,381,33,7.9710
WRDS,150A,"Writing and Research in the Disciplines",1746,1607,139,7.9611
SOCI,310,"Canadian Society",327,301,26,7.9511
BIOL,155,"Human Biology: Physiology and Introductory Anatomy",519,478,41,7.8998
ECON,101,"Principles of Microeconomics",2296,2117,179,7.7962
CPSC,320,"Intermediate Algorithm Design and Analysis",659,609,50,7.5873
MATH,307,"Applied Linear Algebra",465,430,35,7.5269
SOCI,217,"Research Methods",343,318,25,7.2886
EOSC,114,"The Catastrophic Earth: Natural Disasters",1005,932,73,7.2637
ATSC,113,"Applied Meteorology",1889,1752,137,7.2525
COMM,291,"Application of Statistics in Business",877,815,62,7.0696
CHEM,154,"Chemistry for Engineering",813,756,57,7.0111
BIOC,302,"General Biochemistry",314,292,22,7.0064
MATH,152,"Linear Systems",925,863,62,6.7027
CLST,105,"Greek and Roman Mythology",407,380,27,6.6339
POLI,101,"The Government of Canada",744,695,49,6.5860
PSYC,306A,"Principles of Animal Behaviour",291,272,19,6.5292
