Subject,Enrolled,Pass,Fail,"Fail %"
COMM,23273,22799,474,2.0367
PSYC,19586,18805,781,3.9875
MATH,18459,15986,2473,13.3973
BIOL,14897,14240,657,4.4103
CPSC,14187,12975,1212,8.5430
ECON,12070,11374,696,5.7664
CHEM,11582,10737,845,7.2958
PHYS,9019,8329,690,7.6505
KIN,7900,7709,191,2.4177
SOCI,7606,7262,344,4.5227
POLI,7215,6895,320,4.4352
EOSC,6616,6344,272,4.1112
ENGL,6604,6338,266,4.0279
PHIL,5971,5711,260,4.3544
CRWR,5900,5781,119,2.0169
CIVL,5692,5541,151,2.6528
APSC,5430,5172,258,4.7514
LAW,5014,4987,27,0.5385
ASIA,4760,4588,172,3.6134
WRDS,4740,4486,254,5.3586
FRST,4533,4424,109,2.4046
MECH,4318,4093,225,5.2107
STAT,4260,4033,227,5.3286
FNH,4221,4171,50,1.1846
CHBE,4214,4057,157,3.7257
DSCI,4128,4099,29,0.7025
HIST,3966,3747,219,5.5219
PHRM,3952,3950,2,0.0506
ELEC,3880,3582,298,7.6804
BUSI,3427,3183,244,7.1199
LING,2945,2859,86,2.9202
CHIN,2940,2878,62,2.1088
ANTH,2904,2775,129,4.4421
GEOG,2856,2756,100,3.5014
NURS,2735,2729,6,0.2194
FREN,2699,2652,47,1.7414
MUSC,2685,2624,61,2.2719
MICB,2590,2529,61,2.3552
CPEN,2577,2510,67,2.5999
FMST,2410,2372,38,1.5768
BMEG,2372,2343,29,1.2226
ATSC,2068,1919,149,7.2050
GRSJ,2050,1954,96,4.6829
CONS,2008,1975,33,1.6434
EPSE,1861,1846,15,0.8060
VISA,1844,1799,45,2.4403
BIOC,1823,1737,86,4.7175
SPPH,1811,1801,10,0.5522
GEOS,1740,1685,55,3.1609
COMR,1739,1655,84,4.8304
CLST,1675,1566,109,6.5075
MTRL,1642,1564,78,4.7503
BA,1641,1640,1,0.0609
LFS,1584,1563,21,1.3258
SPAN,1550,1483,67,4.3226
APBI,1504,1448,56,3.7234
ARTH,1337,1296,41,3.0666
GERM,1234,1198,36,2.9173
JAPN,1233,1183,50,4.0552
SOWK,1217,1210,7,0.5752
PHTH,1215,1215,0,0.0000
CNPS,1211,1191,20,1.6515
THTR,1136,1121,15,1.3204
AUDI,1112,1102,10,0.8993
DES,1090,1080,10,0.9174
LLED,1065,1051,14,1.3146
ARCH,1059,1057,2,0.1889
BAMA,996,996,0,0.0000
PLAN,991,985,6,0.6054
LIBR,951,946,5,0.5258
FIST,938,902,36,3.8380
WOOD,937,919,18,1.9210
ETEC,873,866,7,0.8018
ASTR,871,811,60,6.8886
UFOR,857,844,13,1.5169
CAPS,840,791,49,5.8333
ECED,834,821,13,1.5588
MINE,831,818,13,1.5644
PPGA,812,808,4,0.4926
EDCP,789,784,5,0.6337
ARCL,787,752,35,4.4473
ADHE,777,766,11,1.4157
FRE,768,762,6,0.7813
BASC,748,748,0,0.0000
COGS,719,690,29,4.0334
SCIE,678,665,13,1.9174
BAEN,665,665,0,0.0000
ASTU,614,568,46,7.4919
LARC,565,564,1,0.1770
SPHA,540,536,4,0.7407
COEC,539,529,10,1.8553
BAFI,522,522,0,0.0000
PCTH,506,501,5,0.9881
VANT,506,481,25,4.9407
FIPR,496,481,15,3.0242
EECE,495,491,4,0.8081
RELG,492,463,29,5.8943
PATH,491,489,2,0.4073
ITAL,458,441,17,3.7118
CENS,452,436,16,3.5398
BAAC,446,443,3,0.6726
MANU,435,418,17,3.9080
BAIT,425,425,0,0.0000
BABS,424,423,1,0.2358
BAHR,423,423,0,0.0000
BASM,419,419,0,0.0000
EDST,389,389,0,0.0000
CNTO,377,375,2,0.5305
ARST,368,366,2,0.5435
APPP,356,356,0,0.0000
RUSS,354,341,13,3.6723
JRNL,348,345,3,0.8621
MIDW,340,340,0,0.0000
ISCI,333,333,0,0.0000
OSOT,320,320,0,0.0000
ENPH,313,308,5,1.5974
ENVR,313,309,4,1.2780
BAMS,291,290,1,0.3436
RHSC,275,275,0,0.0000
FOOD,274,274,0,0.0000
BAPA,273,273,0,0.0000
PHAR,265,265,0,0.0000
KORN,262,252,10,3.8168
LASO,259,253,6,2.3166
LATN,243,227,16,6.5844
FNIS,241,213,28,11.6183
IGEN,239,237,2,0.8368
INFO,214,212,2,0.9346
EDUC,212,208,4,1.8868
COLX,207,207,0,0.0000
ENVE,206,201,5,2.4272
MEDG,206,204,2,0.9709
GEM,201,201,0,0.0000
SCAN,199,197,2,1.0050
AFST,196,187,9,4.5918
BEST,196,194,2,1.0204
ACAM,190,185,5,2.6316
FCOR,190,190,0,0.0000
ITST,180,171,9,5.0000
CNRS,169,155,14,8.2840
LIBE,162,162,0,0.0000
COHR,160,160,0,0.0000
RMST,159,154,5,3.1447
UDES,159,159,0,0.0000
URST,153,146,7,4.5752
DHYG,135,135,0,0.0000
NAME,133,133,0,0.0000
NEST,126,121,5,3.9683
CEEN,120,120,0,0.0000
RES,119,119,0,0.0000
FNEL,118,111,7,5.9322
BALA,116,116,0,0.0000
PORT,113,112,1,0.8850
LWS,112,110,2,1.7857
ASL,110,110,0,0.0000
ANAT,108,108,0,0.0000
CSIS,106,99,7,6.6038
ARBC,103,102,1,0.9709
PUNJ,102,102,0,0.0000
PERS,101,101,0,0.0000
SURG,101,101,0,0.0000
