Subject,Course,Title,Enrolled,"Subject Total"
PSYC,102,"Introduction to Developmental, Social, Personality, and Clinical Psychology",2531,5509
PSYC,101,"Introduction to Biological and Cognitive Psychology",2122,5509
PSYC,218,"Analysis of Behavioural Data",856,5509
ECON,101,"Principles of Microeconomics",2296,4912
ECON,102,"Principles of Macroeconomics",2029,4912
ECON,355,"Introduction to International Trade",587,4912
BIOL,121,"Genetics, Evolution and Ecology",1732,4722
BIOL,112,"Biology of the Cell",1604,4722
BIOL,200,"Fundamentals of Cell Biology",1386,4722
WRDS,150B,"Writing and Research in the Disciplines",2790,4642
WRDS,150A,"Writing and Research in the Disciplines",1746,4642
WRDS,350,"Knowledge-Making in the Disciplines",106,4642
CHEM,121,"Structure and Bonding in Chemistry",1882,4629
CHEM,123,"Thermodynamics, Kinetics and Organic Chemistry",1574,4629
CHEM,233,"Organic Chemistry for the Biological Sciences",1173,4629
MATH,100,"Differential Calculus with Applications to Physical Sciences and Engineering",1665,4375
MATH,101,"Integral Calculus with Applications to Physical Sciences and Engineering",1405,4375
MATH,200,"Calculus III",1305,4375
CPSC,110,"Computation, Programs, and Programming",1393,3635
CPSC,210,"Software Construction",1175,3635
CPSC,121,"Models of Computation",1067,3635
PHYS,131,"Energy and Waves (Lecture)",1217,3280
PHYS,170,"Mechanics I",1056,3280
PHYS,157,"Introductory Physics for Engineers I",1007,3280
APSC,100,"Introduction to Engineering I",1017,2910
APSC,160,"Introduction to Computation in Engineering Design",1009,2910
APSC,101,"Introduction to Engineering II",884,2910
COMM,298,"Introduction to Finance",956,2787
COMM,202,"Career Fundamentals",920,2787
COMM,290,"Introduction to Quantitative Decision Making",911,2787
EOSC,114,"The Catastrophic Earth: Natural Disasters",1005,2582
EOSC,116,"Mesozoic Earth: Time of the Dinosaurs.",888,2582
EOSC,118,"Earth's Treasures: Gold and Gems",689,2582
ENGL,110,"Approaches to Literature",1727,2533
ENGL,100,"Reading and Writing about Literature",502,2533
ENGL,200,"Principles of Literary Studies",304,2533
SOCI,102,"Inequality and Social Change",1092,2496
SOCI,101,"Social Interaction and Culture",888,2496
SOCI,200,"Sociology of Family",516,2496
CRWR,200,"Introduction to Creative Writing",1350,2313
CRWR,213,"Introduction to Writing for the New Media",527,2313
CRWR,209,"Introduction to Writing Fiction",436,2313
POLI,100,"Introduction to Politics",860,2130
POLI,101,"The Government of Canada",744,2130
POLI,260,"Introduction to Global Politics",526,2130
STAT,200,"Elementary Statistics for Applications",954,2084
STAT,251,"Elementary Statistics",726,2084
STAT,302,"Introduction to Probability",404,2084
ATSC,113,"Applied Meteorology",1889,2062
ATSC,201,"Meteorology of Storms",94,2062
ATSC,313,"Renewable Energy Meteorology",79,2062
FMST,210,"Family Context of Human Development",1249,2016
FMST,314,"Relationship Development",434,2016
FMST,312,"Parent-child Relationships",333,2016
PHIL,220A,"Symbolic Logic",857,1786
PHIL,333A,"Bio-Medical Ethics",468,1786
PHIL,120,"Introduction to Critical Thinking",461,1786
LING,101,"Languages of the World",722,1505
LING,100,"Introduction to Language and Linguistics",636,1505
LING,200,"Linguistic Theory and Analysis I",147,1505
FREN,101,"Beginners' French I",586,1323
FREN,201,"Elementary French I",377,1323
FREN,202,"Elementary French II",360,1323
FNH,200,"Exploring Our Food",522,1317
FNH,355,"International Nutrition",452,1317
FNH,250,"Nutrition Concepts and Controversies",343,1317
DSCI,100,"Introduction to Data Science",998,1300
DSCI,561,"Regression I",151,1300
DSCI,513,"Databases and Data Retrieval",151,1300
MICB,202,"Introductory Medical Microbiology and Immunology",587,1236
MICB,201,"Introductory Environmental Microbiology",441,1236
MICB,302,Immunology,208,1236
KIN,420,"Prevention of Sports Injuries",407,1166
KIN,205,"Research Methods in Kinesiology",381,1166
KIN,206,"Introduction to Statistics in Kinesiology",378,1166
ANTH,100A,"Introduction to Cultural Anthropology",690,1134
ANTH,203,"Anthropology of Drugs",290,1134
ANTH,220,"First Nations of British Columbia",154,1134
CHIN,471,"Later Classical Chinese Poetry (Tang)",382,1015
CHIN,473,"Later Classical Chinese Poetry (after Tang)",325,1015
CHIN,481,"Modern Chinese Literature I (Heritage)",308,1015
LFS,100,"Introduction to Land, Food and Community",376,1000
LFS,250,"Land, Food and Community I: Introduction to Food Systems and Sustainability",366,1000
LFS,350,"Land, Food, and Community II: Principles and Practice of Community Food Security",258,1000
CLST,301,"The Technical Terms of Medicine and Biological Science",532,999
CLST,105,"Greek and Roman Mythology",407,999
CLST,232,"Ancient Rome",60,999
COMR,457,"Fundamentals of Financial Accounting",376,995
COMR,329,"Principles of Organizational Behaviour",336,995
COMR,465,"Marketing Management",283,995
GEOS,102,"Our Changing Environment: Climate and Ecosystems",419,958
GEOS,103,"Our Changing Environment: Water and Landscapes",307,958
GEOS,270,"Geographic Information Science",232,958
SPAN,101,"Beginners' Spanish I",445,931
SPAN,102,"Beginners' Spanish II",252,931
SPAN,201,"Elementary Spanish I",234,931
BIOC,202,"Introductory Medical Biochemistry",430,904
BIOC,302,"General Biochemistry",314,904
BIOC,301,"Biochemistry Laboratory",160,904
ASIA,326,"Critical Approaches to Manga and Anime",463,887
ASIA,325,"Hong Kong Cinema",226,887
ASIA,355,"History of Chinese Cinema",198,887
GEOG,310,"Environment and Sustainability",365,854
GEOG,121,"Geography, Environment and Globalization",267,854
GEOG,122,"Geography, Modernity and Globalization",222,854
GRSJ,101,"Introduction to Social Justice",472,849
GRSJ,300,"Intersectional Approaches to Thinking Gender",247,849
GRSJ,102,"Global Issues in Social Justice",130,849
VISA,110,"Foundation Studio: Digital Media",453,845
VISA,180,"Foundation Studio: Approaches to Media",241,845
VISA,183,"Foundation Studio: Ideas as Practice I",151,845
CONS,127,"Observing the Earth from Space",343,832
CONS,200,"Foundations of Conservation",267,832
CONS,101,"Introduction to Conservation",222,832
JAPN,100,"Beginning Japanese IA",460,806
JAPN,101,"Beginning Japanese IB",199,806
JAPN,200,"Beginning Japanese II A",147,806
BA,562,Creativity,318,787
BA,515,"Fundamentals of Analytics and Tech",260,787
BA,507,"Business Strategy Integration: Global",209,787
ELEC,201,"Circuit Analysis I",327,787
ELEC,221,"Signals and Systems",289,787
ELEC,301,"Electronic Circuits",171,787
GERM,100,"Beginners' German I",344,777
GERM,433,"German for Reading Knowledge I",264,777
GERM,304,"German Cinema (in English)",169,777
CPEN,211,"Introduction to Microcomputers",321,773
CPEN,221,"Software Construction I",238,773
CPEN,333,"System Software Engineering",214,773
FRST,303,"Principles of Forest Science",322,765
FRST,302,"Forest Genetics",227,765
FRST,150,"Scholarly Writing and Argumentation in Forestry",216,765
MECH,360,"Mechanics of Materials",298,755
MECH,260,"Introduction to Mechanics of Materials",283,755
MECH,325,"Machine Design",174,755
CIVL,215,"Fluid Mechanics I",269,712
CIVL,316,"Hydrology and Open Channel Flow",225,712
CIVL,210,"Soil Mechanics I",218,712
CHBE,244,"Chemical and Biological Engineering Thermodynamics I",247,711
CHBE,251,"Transport Phenomena I",234,711
